sample	reads	aln_one_time	overall_rate
10	11120112	8949811	86.27
11	11138233	9071773	87.15
13	10028949	9029641	96.17
14	18359712	16629903	96.62
16	13415392	11974652	95.76
17	12198937	10842094	95.56
19	17302172	15775421	96.75
1	7215676	6625848	96.89
20	15765675	14380902	96.77
22	12031886	10831702	95.90
23	14961714	13491923	95.95
25	16663805	14943891	95.80
26	21296825	19147749	95.69
28	14429730	11749639	87.27
29	15777780	12588672	85.67
2	10306344	9488834	96.99
31	12819932	11604181	96.31
32	14411324	13077088	96.32
34	16156990	14328357	95.35
35	14261446	12692443	95.43
47	18841714	17142249	96.30
48	16145015	14844403	97.02
4	12880938	11620960	96.07
50	14065889	12662618	96.07
51	15503550	13952494	96.04
53	17316496	16080857	97.23
54	14242837	13042580	96.71
56	17802047	15986669	95.96
57	9763158	8763255	95.59
5	11261987	10135247	95.86
7	6547172	5967180	95.84
8	13467108	12170439	95.64
