name genotype tissue infection sample
G495IA1 G495 A I 31
G495IA2 G495 A I 32
G495IH1 G495 H I 34
G495IH2 G495 H I 35
G495UIA1 G495 A UI 13
G495UIA2 G495 A UI 14
G495UIH1 G495 H UI 16
G495UIH2 G495 H UI 17
Lb84IA1 Lb84 A I 25
Lb84IA2 Lb84 A I 26
Lb84IH1 Lb84 H I 28
Lb84IH2 Lb84 H I 29
Lb84UIA1 Lb84 A UI 7
Lb84UIA2 Lb84 A UI 8
Lb84UIH1 Lb84 H UI 10
Lb84UIH2 Lb84 H UI 11
SiennaIA1 Sienna A I 53
SiennaIA2 Sienna A I 54
SiennaIH1 Sienna H I 56
SiennaIH2 Sienna H I 57
SiennaUIA1 Sienna A UI 47
SiennaUIA2 Sienna A UI 48
SiennaUIH1 Sienna H UI 50
SiennaUIH2 Sienna H UI 51
StFoyIA1 StFoy A I 19
StFoyIA2 StFoy A I 20
StFoyIH1 StFoy H I 22
StFoyIH2 StFoy H I 23
StFoyUIA1 StFoy A UI 1
StFoyUIA2 StFoy A UI 2
StFoyUIH1 StFoy H UI 4
StFoyUIH2 StFoy H UI 5
