gene_id contig start end strand n_transcripts total_exons_length first_transcript other_transcripts
ORF1 LbFV 215 1165 + 1 951 ORF1 NA
ORF10 LbFV 8198 8476 - 1 279 ORF10 NA
ORF100 LbFV 97480 97788 - 1 309 ORF100 NA
ORF101 LbFV 97814 98704 - 1 891 ORF101 NA
ORF102 LbFV 99011 100093 - 1 1083 ORF102 NA
ORF103 LbFV 100138 100716 - 1 579 ORF103 NA
ORF104 LbFV 100911 101582 + 1 672 ORF104 NA
ORF105 LbFV 103682 104428 + 1 747 ORF105 NA
ORF106 LbFV 104450 106507 - 1 2058 ORF106 NA
ORF107 LbFV 106978 108855 + 1 1878 ORF107 NA
ORF108 LbFV 108900 110279 + 1 1380 ORF108 NA
ORF11 LbFV 8839 11178 - 1 2340 ORF11 NA
ORF12 LbFV 11591 11770 + 1 180 ORF12 NA
ORF13 LbFV 12480 14210 - 1 1731 ORF13 NA
ORF14 LbFV 15339 16238 + 1 900 ORF14 NA
ORF15 LbFV 16559 17092 + 1 534 ORF15 NA
ORF16 LbFV 17013 17186 + 1 174 ORF16 NA
ORF17 LbFV 17616 17933 + 1 318 ORF17 NA
ORF18 LbFV 17955 18656 + 1 702 ORF18 NA
ORF19 LbFV 18663 19343 + 1 681 ORF19 NA
ORF2 LbFV 1244 2248 + 1 1005 ORF2 NA
ORF20 LbFV 19755 20903 - 1 1149 ORF20 NA
ORF21 LbFV 20975 21805 - 1 831 ORF21 NA
ORF22 LbFV 21830 22843 - 1 1014 ORF22 NA
ORF23 LbFV 22942 23169 + 1 228 ORF23 NA
ORF24 LbFV 23235 23684 + 1 450 ORF24 NA
ORF25 LbFV 23839 24027 - 1 189 ORF25 NA
ORF26 LbFV 24674 24883 + 1 210 ORF26 NA
ORF27 LbFV 25507 26532 + 1 1026 ORF27 NA
ORF28 LbFV 26600 27076 - 1 477 ORF28 NA
ORF29 LbFV 27069 27737 - 1 669 ORF29 NA
ORF3 LbFV 2315 2473 + 1 159 ORF3 NA
ORF30 LbFV 27782 28252 + 1 471 ORF30 NA
ORF31 LbFV 28267 28902 - 1 636 ORF31 NA
ORF32 LbFV 29003 30688 + 1 1686 ORF32 NA
ORF33 LbFV 30977 32173 + 1 1197 ORF33 NA
ORF34 LbFV 32166 32381 + 1 216 ORF34 NA
ORF35 LbFV 32482 33696 + 1 1215 ORF35 NA
ORF36 LbFV 33676 38514 - 1 4839 ORF36 NA
ORF37 LbFV 38600 39298 - 1 699 ORF37 NA
ORF38 LbFV 39419 39631 + 1 213 ORF38 NA
ORF39 LbFV 39644 39910 - 1 267 ORF39 NA
ORF4 LbFV 2515 3531 - 1 1017 ORF4 NA
ORF40 LbFV 39930 40142 + 1 213 ORF40 NA
ORF41 LbFV 40382 40534 - 1 153 ORF41 NA
ORF42 LbFV 40612 41325 - 1 714 ORF42 NA
ORF43 LbFV 41498 42508 + 1 1011 ORF43 NA
ORF44 LbFV 43693 43881 + 1 189 ORF44 NA
ORF45 LbFV 44032 44187 + 1 156 ORF45 NA
ORF46 LbFV 44419 44577 + 1 159 ORF46 NA
ORF47 LbFV 44613 44771 + 1 159 ORF47 NA
ORF48 LbFV 45205 45366 + 1 162 ORF48 NA
ORF49 LbFV 45627 45890 - 1 264 ORF49 NA
ORF5 LbFV 3768 5858 + 1 2091 ORF5 NA
ORF50 LbFV 45947 46285 - 1 339 ORF50 NA
ORF51 LbFV 46895 48394 - 1 1500 ORF51 NA
ORF52 LbFV 48381 49502 - 1 1122 ORF52 NA
ORF53 LbFV 49590 49844 - 1 255 ORF53 NA
ORF54 LbFV 49906 50241 - 1 336 ORF54 NA
ORF55 LbFV 50262 50858 + 1 597 ORF55 NA
ORF56 LbFV 50855 51412 - 1 558 ORF56 NA
ORF57 LbFV 51396 51548 + 1 153 ORF57 NA
ORF58 LbFV 51529 55455 + 1 3927 ORF58 NA
ORF59 LbFV 55494 56144 - 1 651 ORF59 NA
ORF6 LbFV 5900 6451 + 1 552 ORF6 NA
ORF60 LbFV 56178 57266 - 1 1089 ORF60 NA
ORF61 LbFV 57491 59227 - 1 1737 ORF61 NA
ORF62 LbFV 59415 59951 - 1 537 ORF62 NA
ORF63 LbFV 60094 62283 - 1 2190 ORF63 NA
